2228.9	0.0	4682.9	24058.6	15209.9	1332.5	8.4	7277.9	1270.4	1285.3
2501.0	0.0	3540.3	24753.7	11271.0	1464.2	0.0	7268.9	2617.4	1639.2
2723.5	0.0	3721.6	24643.2	11451.4	1470.7	25.0	7268.9	3012.7	1762.9
2731.3	0.0	3745.2	23125.1	9603.4	1477.1	25.0	7268.9	3511.0	1914.6
2738.8	0.0	3734.5	23125.1	7851.4	1483.5	25.0	7268.9	4151.7	1968.9
2745.9	0.0	3734.6	23943.7	6531.4	1489.8	25.0	7268.9	4264.3	2009.6
2717.6	0.0	3732.2	24476.6	4817.1	1496.0	29.0	6333.4	4405.6	2082.0
2806.0	0.0	3746.3	25035.1	2879.4	1502.1	29.0	5566.3	4385.8	2160.5
2777.9	0.0	3939.0	25789.9	2879.4	1508.0	29.0	4827.6	4534.1	2188.2
2786.1	0.0	3968.8	26735.1	1129.9	1551.9	29.0	3849.1	4713.0	2215.1
2786.1	0.0	3995.4	27994.8	0.0	1556.9	29.0	3849.1	4899.5	2235.6
2786.1	0.0	4035.0	28633.1	0.0	1561.6	29.0	3849.1	5062.6	2271.9
2615.6	0.0	4072.5	30640.0	0.0	1566.1	29.0	1969.9	5234.2	2286.8
908.4	0.0	4153.7	30878.0	0.0	1570.4	29.0	1969.9	5329.6	2308.2
910.3	0.0	3806.1	31732.2	0.0	1574.5	29.0	1969.9	5498.2	2333.0
910.5	0.0	2794.9	32496.4	0.0	1578.4	29.0	985.0	5556.1	2389.5
911.0	0.0	2845.7	32149.6	0.0	1582.1	29.0	985.0	5617.7	2432.5
911.7	0.0	2885.2	31551.2	0.0	1585.6	29.0	985.0	5693.7	2461.9
875.9	0.0	2926.5	29060.7	0.0	1588.9	29.0	2337.7	5733.2	2490.7
877.1	0.0	2996.9	29044.5	0.0	1592.0	29.0	2337.7	5792.0	2538.9
851.3	0.0	3104.8	28152.9	0.0	1595.0	29.0	3690.4	5814.3	2563.3
854.1	0.0	3190.7	28152.9	0.0	1597.9	29.0	3690.4	5831.8	2582.1
855.9	0.0	3240.3	28038.1	0.0	1600.6	29.0	3690.4	5844.5	2584.1
857.8	0.0	3294.1	27290.1	0.0	1603.1	29.0	3690.4	5857.2	2585.3
859.5	0.0	3317.7	26933.1	0.0	1605.6	29.0	3690.4	5870.0	2582.3
861.1	0.0	3422.0	26933.1	0.0	1607.9	25.0	3690.4	5875.1	2574.5
862.6	0.0	3478.5	27030.0	0.0	1610.1	25.0	3645.0	5880.3	2574.1
864.2	0.0	3536.6	27030.0	0.0	1612.2	25.0	3645.0	5885.5	2577.0
865.9	0.0	3597.1	27030.0	0.0	1614.2	25.0	3645.0	5890.7	2583.3
867.9	0.0	3655.8	27030.0	0.0	1616.1	25.0	4050.0	5895.9	2592.1
870.1	0.0	3714.3	27030.0	0.0	1617.8	25.0	4050.0	5901.1	2604.1
872.9	0.0	3772.5	27030.0	0.0	1619.5	25.0	4050.0	5906.3	2618.1
876.2	0.0	3832.5	27030.0	0.0	1621.2	25.0	4050.0	5911.5	2635.4
880.2	0.0	3891.7	27030.0	0.0	1622.7	25.0	4050.0	5916.8	2656.2
885.0	0.0	3947.4	27030.0	0.0	1624.2	25.0	4455.0	5922.1	2681.1
890.6	0.0	3999.9	27030.0	0.0	1625.6	25.0	4455.0	5927.3	2709.4
